Banner Name,5-Star Character,4-Star Characters,Banner Dates
Moment of Bloom,Hu Tao,"Beidou, Ningguang, Xingqiu","7th February, 2023 to 28th February, 2023"
Discerner of Enigmas,Yelan,"Beidou, Ningguang, Xingqiu","7th February, 2023 to 28th February, 2023"
Auric Blaze,Dehya,"Barbara, Bennett, Collei","1st March, 2023 to 21st March, 2023"
Twilight Arbiter,Cyno,"Barbara, Bennett, Collei","1st March, 2023 to 21st March, 2023"
The Transcendent One Returns,Shenhe,"Diona, Mika, Sucrose","21st March, 2023 to 11th April, 2023"
The Heron's Court,Ayaka,"Diona, Mika, Sucrose","21st March, 2023 to 11th April, 2023"
The Moongrass' Enlightenment,Nahida,"Kuki Shinobu, Dori, Layla","12th April, 2023 to 2nd May, 2023"
Twirling Lotus,Nilou,"Kuki Shinobu, Dori, Layla","12th April, 2023 to 2nd May, 2023"
Immaculate Pulse,Baizhu,"Candace, Fischl, Kaveh","2nd May, 2023 to 23rd May, 2023"
Adrift in the Harbor,Ganyu,"Candace, Fischl, Kaveh","2nd May, 2023 to 23rd May, 2023"
Tapestry of Golden Flames,Yoimiya,"Chongyun, Kirara, Yun Jin","24th May, 2023 to 13th June, 2023"
Everbloom Violet,Yae Miko,"Chongyun, Kirara, Yun Jin","24th May, 2023 to 13th June, 2023"
Leaves in the Wind,Kazuha,"Heizou, Xiangling, Yaoyao","13th June, 2023 to 4th July, 2023"
Caution in Confidence,Alhaitham,"Heizou, Xiangling, Yaoyao","13th June, 2023 to 4th July, 2023"
Born of Ocean Swell,Eula,"Mika, Razor, Thoma","5th July, 2023 to 25th July, 2023"
Sparkling Steps,Klee,"Mika, Razor, Thoma","5th July, 2023 to 25th July, 2023"
Drifting Luminescence,Kokomi,"Faruzan, Rosaria, Yanfei","25th July, 2023 to 15th August, 2023"
From Ashes Reborn,Wanderer (Scaramouche),"Faruzan, Rosaria, Yanfei","25th July, 2023 to 15th August, 2023"
Conjuring Chiaroscuro,Lyney,"Barbara, Bennett, Lynette","16th August, 2023 to 5th September, 2023"
Discerner of Enigmas,Yelan,"Barbara, Bennett, Lynette","16th August, 2023 to 5th September, 2023"
